facilityname,sitenumber,owner,manager
AMERICAN CREEK,50031,STATE OF AK DNR,NO MANAGER
AMOOK BAY,50031.5,MIKE MUNSEY,MIKE MUNSEY
AMOOK BAY,50031.5,MIKE MUNSEY,MIKE MUNSEY
AMOOK BAY,50031.5,MIKE MUNSEY,MIKE MUNSEY
ANAKTUVUK PASS,50032,NORTH SLOPE BOROUGH,TOM D. NICOLOS
CAMPBELL AIRSTRIP,50033,US BUREAU OF LAND MANAGEMENT,DAVE DOUCET
PROVIDENCE HOSPITAL,50033.01,PROVIDENCE HEALTH SYSTEM,VICKI FACIANE
SIXMILE LAKE,50033.02,US AIR FORCE, MAJOR ROBERT PECK
VIKING,50033.03,PRUHS CORPORATION,DANA PRUHS
VIKING,50033.03,PRUHS CORPORATION,DANA PRUHS
VIKING,50033.03,PRUHS CORPORATION,DANA PRUHS
ALASKA RGNL HOSPITAL,50033.1,MUNICIPALITY OF ANCHORAGE,PAUL BOWERS A.A.E.
CAMPBELL BLM,50033.2,US BUREAU OF LAND MANAGEMENT,DAVE DOUCET
ANCHORAGE LOFTS HOTEL HELIPORT,50033.24,H.P. HOLDINGS INC.,RANDY COMER
FLYING CROWN,50033.4,FLYING CROWN/OCEANVIEW NORTH,CHARLES FRYER
BOLD,50033.5,STATE OF AK DNR,KEITH WILSON PARK RANGER
TED STEVENS ANCHORAGE INTL,50034,STATE OF ALASKA DOTPF,JOHN PARROTT
TED STEVENS ANCHORAGE INTL,50034,STATE OF ALASKA DOTPF,JOHN PARROTT
TED STEVENS ANCHORAGE INTL,50034,STATE OF ALASKA DOTPF,JOHN PARROTT
MERRILL FIELD,50035,MUNICIPALITY OF ANCHORAGE,PAUL BOWERS A.A.E.
CAMPBELL LAKE SPB,50035.2,CAMPBELL LAKE OWNERS INC,DR. JOHN SPARAGA
ELMENDORF AFB,50036,US AIR FORCE,AIRFIELD MGR
ELMENDORF HOSPITAL,50036.01,US AIR FORCE,AIRFIELD MANAGER
ELMENDORF HOSPITAL,50036.01,US AIR FORCE,AIRFIELD MANAGER
ELMENDORF HOSPITAL,50036.01,US AIR FORCE,AIRFIELD MANAGER
FIRE ISLAND,50036.02,US FEDERAL AVIATION ASSOCIATION,DISTRICT OFFICE MANAGER
SKY HARBOR,50036.1,SKY HBR PRPTY OWNER ASSOC,GORDON A. LEONARD
LAKE HOOD,50037,STATE OF ALASKA DOT&PF,TIM COONS
ANCHOR RIVER AIRPARK,50037.3,ANCHOR RIVER AIRPARK OWNERS ASSOC,JIM DRESS
LOWELL FIELD,50037.31,DAN PRESLEY,DAN PRESLEY
LOWELL FIELD,50037.31,DAN PRESLEY,DAN PRESLEY
LOWELL FIELD,50037.31,DAN PRESLEY,DAN PRESLEY
ANGOON,50037.6,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
ANGOON,50037.6,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
ANGOON,50037.6,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
ANIAK,50038,ALASKA DOT&PF CENTRAL REGION,RICHARD CILETTI
ANNETTE ISLAND,50039,METLAKATLA INDIAN COMM,MAYOR AUDREY M. L. HUDSON
ANNETTE ISLAND,50039,METLAKATLA INDIAN COMM,MAYOR AUDREY M. L. HUDSON
ANNETTE ISLAND,50039,METLAKATLA INDIAN COMM,MAYOR AUDREY M. L. HUDSON
TAMGAS HARBOR,50039.01,COUNCIL OF ANNETTE IS,CHIEF OF POLICE
TAMGAS HARBOR,50039.01,COUNCIL OF ANNETTE IS,CHIEF OF POLICE
TAMGAS HARBOR,50039.01,COUNCIL OF ANNETTE IS,CHIEF OF POLICE
ANVIK,50039.1,ALASKA DOT&PF NORTHERN REGION,ERIK WEINGARTH
ANVIK,50039.1,ALASKA DOT&PF NORTHERN REGION,ERIK WEINGARTH
ANVIK,50039.1,ALASKA DOT&PF NORTHERN REGION,ERIK WEINGARTH
ANVIK,50039.11,PUBLIC DOMAIN,NO MANAGER
ARCTIC VILLAGE,50039.8,VENETIE TRIBAL GOVN,JONATHAN JOHNS
ARCTIC VILLAGE,50039.8,VENETIE TRIBAL GOVN,JONATHAN JOHNS
ARCTIC VILLAGE,50039.8,VENETIE TRIBAL GOVN,JONATHAN JOHNS
ATKA,50040.5,ALASKA DOT&PF SOUTHCOAST REGION,DALE RUCKMAN
ATMAUTLUAK,50044,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
ATMAUTLUAK,50044,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
ATMAUTLUAK,50044,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
ATQASUK EDWARD BURNELL SR MEMORIAL,50044.5,NORTH SLOPE BOROUGH,TOM D. NICOLOS
ATQASUK EDWARD BURNELL SR MEMORIAL,50044.5,NORTH SLOPE BOROUGH,TOM D. NICOLOS
ATQASUK EDWARD BURNELL SR MEMORIAL,50044.5,NORTH SLOPE BOROUGH,TOM D. NICOLOS
CASCO COVE CGS,50046,US COAST GUARD,COMMANDER LORAN STATION
BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,50053,CITY AND BOROUGH OF SITKA,HARBORMASTER
BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,50053,CITY AND BOROUGH OF SITKA,HARBORMASTER
BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,50053,CITY AND BOROUGH OF SITKA,HARBORMASTER
WILEY POST-WILL ROGERS MEMORIAL,50054.3,ALASKA DOT&PF NORTHERN REGION,JOHN OLSEN
BARTER ISLAND,50055.5,NORTH SLOPE BOROUGH,TOM NICOLOS
BARTER ISLAND,50055.5,NORTH SLOPE BOROUGH,TOM NICOLOS
BARTER ISLAND,50055.5,NORTH SLOPE BOROUGH,TOM NICOLOS
BARTLETT COVE,50056,NPS GLACIER BAY NATL PARK & PRES,SUPERINTENDANT OF GLACIER BAY
BASIN CREEK,50056.5,ENGSTROM DREDGING CO,RON ENGSTROM
BEAR CREEK 1,50057,PUBLIC DOMAIN,NO MANAGER
BEAR CREEK 1,50057,PUBLIC DOMAIN,NO MANAGER
BEAR CREEK 1,50057,PUBLIC DOMAIN,NO MANAGER
BEAR CREEK 3,50057.2,PUBLIC DOMAIN,NO MANAGER
JOHNSONS LANDING,50057.4,PUBLIC DOMAIN,WARREN JOHNSON
BEAVER,50058,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
BELL ISLAND HOT SPRINGS,50059.9,DONALD PETERSON,DONALD PETERSON
BELUGA,50059.95,HILCORP ALASKA LLC,HILCORP ALASKA LLC
BETHEL,50060.2,PUBLIC DOMAIN,NO MANAGER
BETHEL,50061.1,ALASKA DOT&PF CENTRAL REGION,LJ DAVIS
BETHEL,50061.1,ALASKA DOT&PF CENTRAL REGION,LJ DAVIS
BETHEL,50060.2,PUBLIC DOMAIN,NO MANAGER
HAINES,50296,ALASKA DOT&PF SOUTHCOAST REGION,MATT BORON
HAINES,50296.1,HAINES BOROUGH,HARBORMASTER
HAINES,50296,ALASKA DOT&PF SOUTHCOAST REGION,MATT BORON
HAINES,50296.1,HAINES BOROUGH,HARBORMASTER
HIGH VISTA,50529.7,ROBERT BREEDEN,"TRY HERE WILD ALASKA, LLC"
HIGH VISTA,50529.7,ROBERT BREEDEN,"TRY HERE WILD ALASKA, LLC"
ISLAND LAKE,50410.13,PUBLIC DOMAIN,PATRICK E. CARTY
ISLAND LAKE,50870.67,STATE OF AK DNR,CHARLES CENTER
ISLAND LAKE,50410.13,PUBLIC DOMAIN,PATRICK E. CARTY
ISLAND LAKE,50870.67,STATE OF AK DNR,CHARLES CENTER
KAKE,50393.01,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
KAKE,50393,CITY OF KAKE,CITY OF KAKE HARBORMASTER
KAKO,50672.01,DAVE PENZ,JONATHAN PENZ
KAKE,50393,CITY OF KAKE,CITY OF KAKE HARBORMASTER
ISLAND LAKE,50410.13,PUBLIC DOMAIN,PATRICK E. CARTY
ISLAND LAKE,50870.67,STATE OF AK DNR,CHARLES CENTER
KAKE,50393.01,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
KAKE,50393,CITY OF KAKE,CITY OF KAKE HARBORMASTER
KAKO,50672.01,DAVE PENZ,JONATHAN PENZ
KALAKAKET CREEK AS,50395.01,US AIR FORCE,JOHN SMITH
KALMBACH,50870.23,ANDY ROBINSON,ANDY ROBINSON
KALMBACH LAKE,50870.5,PAUL G. SMITH,PAUL G. SMITH
KALSKAG,50397,ALASKA DOT&PF CENTRAL REGION,RICHARD CILETTI
KALTAG,50398,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
LAKE LOUISE,50439,ALASKA DOT&PF NORTHERN REGION,JOHN HOFFMAN
LAKE LOUISE,50439.1,EVERGREEN LODGE,DENNIS OAKLAND
NEWTOK,50529,ALASKA DOT&PF CENTRAL REGION,DAVID CUMMINGS
NEWTOK,50529.01,PUBLIC DOMAIN,NO MANAGER
NIKOLAI,50529.9,ALASKA DOT&PF CENTRAL REGION,STEFFEN STRICK
NIKOLAI,50788.1,STATE OF ALASKA DNR,CLARK COX
PORT ALEXANDER,50610,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
PORT ALICE,50610.4,ALASKA LOGGING & PULP,ALASKA LOGGING & PULP
PORT ALSWORTH,50610.8,"GLEN ALSWORTH, SR.",GLEN ALSWORTH SR.
NEWTOK,50529,ALASKA DOT&PF CENTRAL REGION,DAVID CUMMINGS
NEWTOK,50529.01,PUBLIC DOMAIN,NO MANAGER
LAKE LOUISE,50439,ALASKA DOT&PF NORTHERN REGION,JOHN HOFFMAN
LAKE LOUISE,50439.1,EVERGREEN LODGE,DENNIS OAKLAND
RED DEVIL,50648,ALASKA DOT&PF CENTRAL REGION,RICHARD CILETTI
RED DOG,50651,NANA REGIONAL CORP. INC,MIKE SCHEIRMAN
REIDS LANDING,50325.01,ROBERT REID,ROBERT REID
REMINGTON FIELD,50146.03,BRETT HULEN,BRETT HULEN
RIVER JOHN,50708.03,JOHN BERGGREN,JOHN BERGGREN
ROBE LAKE,50825.12,ALASKA DEPT OF NATURAL RESOURCES,DEAN CUMMINGS
ROBERT/BOB/CURTIS MEMORIAL,50541,ALASKA DOT&PF NORTHERN REGION,ALVIN WERNEKE
ROBIN'S LANDING,50601.58,RICHARD GATTIS,RICHARD GATTIS
ROCKING T RANCH,50146.012,GREG & PEGGY TURNER,GREG & PEGGY TURNER
ROLAND NORTON MEMORIAL AIRSTRIP,50692.1,CITY OF SELAWIK,NO MANAGER
RUBY,50670,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
RUSSIAN MISSION,50672,ALASKA DOT&PF NORTHERN REGION,ERIK WEINGARTH
RUSTIC WILDERNESS,50877.25,RUSTIC WILDERNESS SUBDIVISION,
SADDLEBACK ISLAND,50068.68,FULLER A. COWELL,FULLER  A. COWELL
SAGINAW,50680,PUBLIC DOMAIN,NO MANAGER
SITKA,50703.2,CITY & BOROUGH OF SITKA,STAN ELIASAN
SITKA,50703,ALASKA DOT&PF SOUTHCOAST REGION,STEVE BELL
SITUK,50920.1,US FOREST SERVICE,USFS TONGASS NATIONAL FOREST
SIXMILE LAKE,50033.02,US AIR FORCE, MAJOR ROBERT PECK
SKAGWAY,50704,ALASKA DOT&PF SOUTHCOAST REGION,MISSY TYSON
SKELTON,50200.19,SKELTON AIRPORT LLC,TRAVIS C. FRISK
SUMMIT,50725,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
SUMMIT,50500.07,MARTY ARNOLDY,MARTY ARNOLDY
SUNSET STRIP,50870.69,MARK & JENNIE SANDLAND,MARK & JENNIE SANDLAND
SWIFT CREEK,50464.1,JAMES H. EDWARDS - MC CARTHY 14,JAMES H. EDWARDS - MC CARTHY 14
T-TIME,50870.85,TONY KILPATRICK,TONY KILPATRICK
TAKOTNA,50735,ALASKA DOT&PF CENTRAL REGION,STEFFAN STRICK
TAKU HARBOR,50736.4,CITY AND BOROUGH OF JUNEAU,JUNEAU DOCKS AND HARBOR DEPARTMENT
TAKU LODGE,50736.7,TAKU GLACIER LODGE,MIKE WARD
TALACHULITNA RIVER,50699.5,"TAL, INC.",STEVE JAKAB
TALAHEIM,50708.02,MARK MILLER,MARK MILLER
TALKEETNA,50738,ALASKA DOT&PF CENTRAL REGION,STEPHEN HANSON
TALKEETNA,50739,BLM/ANC FIELD OFFICE,BLM/ANC FIELD OFFICE
TUNTUTULIAK,50772.6,ALASKA DOT&PF CENTRAL REGION,LAWERENCE DAVIS
TUNTUTULIAK,50772.4,PUBLIC DOMAIN,NO MANAGER
TUNTUTULIAK,50772.6,ALASKA DOT&PF CENTRAL REGION,LAWERENCE DAVIS
TUNTUTULIAK,50772.4,PUBLIC DOMAIN,NO MANAGER
WASILLA,50870.3,CITY OF WASILLA,ARCHIE GIDDINGS
WASILLA CREEK AIRPARK,50584.14,MICHAEL JAMES GROW,MICHAEL JAMES GROW
WASILLA CREEK AIRPARK,50584.14,MICHAEL JAMES GROW,MICHAEL JAMES GROW
WATERFALL,50872,WATERFALL CANNERY RESORT,STEVE COCKRELL
WEST BEAVER,50068.59,KEN THORALL,KEN THORALL
WEST BEAVER,50068.51,KEN THORALL,KEN THORALL
WRANGELL,50905.2,ALASKA DOT&PF SOUTHCOAST REGION,WILLIAM BLOOM
WRANGELL,50905,CITY OF WRANGELL,GREG MEISSNER HARBOR MASTER
YAKATAGA,50916,FEDERAL AVIATION ADMINISTRATION,"US GOV, FAA TURNAGAIN SSC"
YAKUTAT,50920,ALASKA DOT&PF SOUTHCOAST REGION,ROBERT LEKANOF
YAKUTAT,50920.12,CITY & BOROUGH OF YAKUTAT,CITY & BOROUGH OF YAKUTAT
WRANGELL,50905.2,ALASKA DOT&PF SOUTHCOAST REGION,WILLIAM BLOOM
WRANGELL,50905,CITY OF WRANGELL,GREG MEISSNER HARBOR MASTER
YAKATAGA,50916,FEDERAL AVIATION ADMINISTRATION,"US GOV, FAA TURNAGAIN SSC"
YAKUTAT,50920,ALASKA DOT&PF SOUTHCOAST REGION,ROBERT LEKANOF
YAKUTAT,50920.12,CITY & BOROUGH OF YAKUTAT,CITY & BOROUGH OF YAKUTAT
TOLOVANA HOT SPRINGS,50218,TOLOVANA HOT SPRINGS LTD,PRESIDENT-TOLOVANA HOT SPRINGS LTD
TOLSONA LAKE,50767.3,ALASKA DEPT FISH & GAME,CHRISTINE HELLER
TOTATLANIKA RIVER,50769.2,PUBLIC DOMAIN,NO MANAGER
TRADING BAY PRODUCTION,50769.3,"HILCORP ALASKA, LLC","KENNETH LUCAS, LOGISTICS"
TRIDENT BASIN,50425.1,CITY OF KODIAK PUBLIC WORKS,PUBLIC WORKS DIRECTOR
TRIO ESTATES,50325.04,OLGA ROGERS,OLGA  ROGERS
TRIPOD,50027.51,PUBLIC DOMAIN,NO MANAGER
YAKUTAT,50920,ALASKA DOT&PF SOUTHCOAST REGION,ROBERT LEKANOF
